supply_id,item_name,category,quantity,unit_price,reorder_level,supplier,last_ordered
SUP-2681,Adhesive Tape,Disposable,462,89.99,35,Merritt-Clark,2026-06-12
SUP-3205,Insulin Syringes,Clinical,753,73.99,11,"Floyd, Garrison and Bennett",2026-06-28
SUP-2756,Insulin Syringes,Disposable,374,60.99,16,Wilson PLC,2026-05-29
SUP-9722,Nitrile Gloves,Disposable,652,92.99,30,Johnson and Sons,2026-05-06
SUP-4959,Adhesive Tape,Disposable,678,95.99,29,"Esparza, Lambert and Davis",2026-05-12
SUP-6260,Saline Solution,Personal Protective,678,56.99,28,Wilson Inc,2026-04-11
SUP-8351,Sterile Gauze,Disposable,610,73.99,41,Hill-Mcgee,2026-06-11
SUP-2967,Nitrile Gloves,Clinical,670,89.99,32,Duncan-Garcia,2026-04-06
SUP-8806,Sterile Gauze,Clinical,842,89.99,6,Hawkins-Herrera,2026-06-13
SUP-8004,Insulin Syringes,Personal Protective,867,74.99,39,"Fuentes, Pearson and Molina",2026-04-19
SUP-1922,Sterile Gauze,Personal Protective,721,23.99,5,"West, Edwards and Williams",2026-05-22
SUP-2641,Insulin Syringes,Personal Protective,272,96.99,7,Whitney PLC,2026-04-27
SUP-8919,Sterile Gauze,Clinical,977,84.99,5,Turner PLC,2026-06-21
SUP-4807,Adhesive Tape,Clinical,153,73.99,36,"Edwards, Bartlett and Shea",2026-05-25
SUP-8365,Sterile Gauze,Personal Protective,111,84.99,7,Johnson and Sons,2026-04-27
SUP-3526,Sterile Gauze,Personal Protective,575,27.99,42,Ramirez-Daniel,2026-05-08
SUP-9008,Saline Solution,Clinical,400,83.99,15,Bryant-Duffy,2026-05-31
SUP-2346,Adhesive Tape,Disposable,82,80.99,22,"Terry, Lee and Watson",2026-05-30
SUP-8379,Adhesive Tape,Disposable,439,19.99,25,Gray-Maynard,2026-04-23
SUP-4425,Insulin Syringes,Personal Protective,122,87.99,40,Jones-Bowman,2026-05-03
SUP-5464,Saline Solution,Disposable,899,28.99,22,Garcia and Sons,2026-05-05
SUP-1720,Insulin Syringes,Disposable,549,93.99,24,"Nicholson, Burns and Rice",2026-06-03
SUP-4620,Adhesive Tape,Clinical,632,12.99,8,Stewart Group,2026-04-17
SUP-8711,Adhesive Tape,Personal Protective,913,51.99,35,"Anderson, Smith and Palmer",2026-04-14
SUP-2070,Sterile Gauze,Clinical,591,94.99,22,Sellers Ltd,2026-06-27
SUP-4081,Adhesive Tape,Clinical,733,58.99,16,Andersen-Lindsey,2026-05-16
SUP-4519,Nitrile Gloves,Personal Protective,974,91.99,19,Reid-Miller,2026-04-28
SUP-5123,Insulin Syringes,Personal Protective,91,9.99,20,Martin Inc,2026-04-08
SUP-4683,Adhesive Tape,Clinical,837,1.99,32,"Romero, Cross and Castillo",2026-05-17
SUP-8722,Insulin Syringes,Clinical,24,78.99,17,"Smith, Coleman and Ferguson",2026-05-02
SUP-8652,Adhesive Tape,Disposable,631,57.99,15,"Conrad, Gallagher and Mckee",2026-04-16
SUP-6013,Sterile Gauze,Personal Protective,371,6.99,32,Gray-Brooks,2026-04-11
SUP-4092,Adhesive Tape,Disposable,307,38.99,35,Baker-Smith,2026-05-27
SUP-6449,Sterile Gauze,Clinical,961,82.99,37,Walls PLC,2026-06-16
SUP-942,Saline Solution,Disposable,640,58.99,26,Gomez-Smith,2026-06-20
SUP-3050,Nitrile Gloves,Clinical,19,12.99,32,Gonzalez-Rice,2026-06-20
SUP-6729,Insulin Syringes,Clinical,17,19.99,47,Perez-Foster,2026-04-27
SUP-7017,Sterile Gauze,Personal Protective,841,34.99,11,Douglas-Gonzales,2026-04-13
SUP-7110,Insulin Syringes,Clinical,914,90.99,17,Lopez Inc,2026-04-13
SUP-6898,Saline Solution,Disposable,174,85.99,17,Moyer-Bird,2026-04-11
SUP-8012,Adhesive Tape,Clinical,829,87.99,50,Nguyen Group,2026-05-16
SUP-6370,Sterile Gauze,Disposable,990,13.99,6,Moore PLC,2026-04-02
SUP-3874,Insulin Syringes,Personal Protective,859,43.99,32,"Mclaughlin, Hamilton and Roberts",2026-05-14
SUP-7027,Sterile Gauze,Personal Protective,166,93.99,37,Wright Inc,2026-06-17
SUP-4052,Nitrile Gloves,Disposable,495,90.99,11,"Cross, Carr and Lopez",2026-06-16
SUP-2436,Sterile Gauze,Disposable,145,51.99,7,Mooney-Hickman,2026-05-09
SUP-3270,Insulin Syringes,Disposable,399,52.99,38,Graves-Baird,2026-04-20
SUP-6980,Nitrile Gloves,Disposable,532,54.99,46,Torres LLC,2026-05-03
SUP-5751,Nitrile Gloves,Disposable,337,6.99,16,Smith Ltd,2026-06-07
SUP-3473,Saline Solution,Clinical,296,77.99,11,Lopez-Vaughan,2026-05-03
SUP-4986,Insulin Syringes,Disposable,695,1.99,48,"Townsend, Anderson and Ward",2026-06-12
SUP-9648,Adhesive Tape,Personal Protective,390,30.99,46,Clark-Cruz,2026-06-19
SUP-2137,Adhesive Tape,Disposable,52,75.99,46,Lee Group,2026-06-23
SUP-1226,Adhesive Tape,Personal Protective,361,38.99,35,Ferguson and Sons,2026-04-04
SUP-3140,Nitrile Gloves,Personal Protective,738,32.99,40,Jacobson-West,2026-06-04
SUP-7145,Insulin Syringes,Clinical,439,67.99,37,Jackson LLC,2026-06-02
SUP-2112,Saline Solution,Disposable,988,72.99,8,"Lee, Olsen and Simpson",2026-05-18
SUP-8412,Insulin Syringes,Disposable,458,96.99,37,Hart-Myers,2026-05-25
SUP-3390,Sterile Gauze,Disposable,173,73.99,18,"Horton, Suarez and Gibbs",2026-05-11
SUP-8602,Saline Solution,Clinical,882,28.99,23,"Adams, Wilson and Walker",2026-05-19
SUP-4781,Insulin Syringes,Personal Protective,161,35.99,13,Marks-Williams,2026-06-28
SUP-3440,Adhesive Tape,Disposable,11,83.99,27,"Jacobs, Wood and Miller",2026-06-03
SUP-8999,Saline Solution,Personal Protective,146,52.99,44,Nguyen-Brown,2026-06-13
SUP-5824,Sterile Gauze,Personal Protective,998,35.99,16,Bonilla-Medina,2026-06-28
